"","Factor 1","Factor 2","Factor 3","Factor 4"
"ZNF638",-8.63236436998704e-06,-7.48899628888466e-06,5.13319400852197e-06,1.50057314840524e-06
"KCNH8",1.19697506306693e-06,1.10579921965837e-05,3.91082949136035e-06,-2.97445967589738e-06
"FLG2",-1.27423363665002e-05,-2.64371610683156e-05,-1.50186533574015e-05,-8.05834679340478e-06
"F5",-1.23799945868086e-05,-4.93837433168665e-07,-9.6278008641093e-06,7.46428941056365e-06
"NAV3",-3.36058428729302e-06,1.99682108359411e-06,5.80682944928412e-06,-5.22833170180093e-06
"FBN3",-2.2074689695728e-05,-7.97030679677846e-06,1.30751077449531e-05,7.18673754818155e-06
"MYH15",8.521075869794e-06,9.72065322457638e-07,-1.18037803531479e-06,9.22089111554669e-06
"DST",1.09141210486996e-05,6.54410405331873e-06,5.22685149917379e-06,-8.27829080662923e-06
"PCLO",-4.15784161305055e-05,-2.84126090264181e-05,-6.95855987942195e-06,-1.123598212871e-05
"ENPP2",-6.04855404162663e-06,5.09940718984581e-06,3.22538130603789e-06,6.95735820954724e-07
"NHS",5.64885340281762e-06,2.13990351767279e-05,-2.20297788473545e-05,7.358460152318e-06
"PCDH11X",-5.53669087821618e-06,-1.24215812320472e-05,3.48406570083171e-06,-2.86661975223979e-06
"DOCK11",7.01660610502586e-07,-2.1296395061654e-05,-9.87986459222157e-06,3.99854889110429e-06
"GRHL3",-1.98359589376196e-06,-1.88885569514241e-05,-6.51808386464836e-06,7.55407791075413e-06
"PCDH15",3.20463391290104e-06,-1.33173853100743e-05,8.88570639290265e-07,-2.53259531746153e-06
"OR5D18",-3.74082702592204e-07,-9.50923265463643e-07,-1.7294207282248e-05,-4.2068536458828e-06
"PIK3C2G",-5.42962152394466e-06,-6.10212737228721e-06,-3.48576645592402e-06,4.77189723824267e-06
"LUM",3.94452220886521e-10,-6.43351982798634e-10,7.74307118422968e-10,-1.62006852377772e-10
"PAN3",3.94452220886521e-10,-6.43351982798634e-10,7.74307118422968e-10,-1.62006852377772e-10
"LRFN5",-5.61787965125404e-05,-3.51793532900047e-05,5.62318246011273e-06,7.6702817750629e-06
"ADCY9",-3.21432230521168e-06,6.40551206743112e-07,3.37436995323515e-06,8.92937077878742e-06
"HYDIN",-6.19846878180397e-06,-1.2077603059879e-05,-3.2355810617446e-06,4.30034788223566e-06
"TJP3",-6.45447153146961e-06,-6.12522535448079e-06,-3.32125546265161e-06,4.37592552771093e-06
"POTEE",-4.26318592872121e-06,1.19339902084903e-05,2.293668103448e-06,-3.08993912767619e-06
"THSD7B",-4.47117827206966e-06,-2.45492065005237e-05,-1.79314956767485e-05,-4.10032225772738e-06
"XIRP2",-6.6951638473256e-06,-7.53536539832567e-07,4.72155079478398e-06,1.40767167522426e-06
"SEMG1",3.94452220886521e-10,-6.43351982798634e-10,7.74307118422968e-10,-1.62006852377772e-10
"FRAS1",-4.95593440064113e-07,-1.66640547831776e-05,-1.17819909064565e-05,-9.6810454124352e-06
"SLC6A3",8.17049112811219e-06,-2.81610391539289e-05,-3.69656263501383e-05,-1.04900918813655e-05
"FAT2",-7.31423597244429e-06,-3.01417894661427e-05,1.87501518666977e-06,7.78708340476442e-07
"ZNF292",8.11654354038183e-06,3.18716120091267e-05,-4.78873189422302e-05,-7.86163596444567e-08
"ZPBP",3.94452220886521e-10,-6.43351982798634e-10,7.74307118422968e-10,-1.62006852377772e-10
"POM121L12",-2.0055047571077e-05,-1.32192744786153e-05,1.15997963803238e-05,3.56610644303146e-06
"TRPA1",7.29365820006933e-06,-6.91029663357767e-06,1.11834960989654e-05,-8.30511737603956e-07
"DOCK8",4.98023553063831e-07,2.432995415802e-06,4.86969338453491e-06,-1.82644851065561e-06
"DMD",-3.54992926077102e-06,-2.29508350457763e-05,3.99425601926851e-07,4.77075309390784e-06
"MED12",-5.37954019819153e-06,-2.23914576054085e-05,-4.06641402150854e-06,1.26907652884256e-05
"ODZ1",3.94452220886521e-10,-6.43351982798634e-10,7.74307118422968e-10,-1.62006852377772e-10
"PLA2G4A",-1.13612532004481e-06,-1.35565005621174e-05,1.50186065184243e-06,-2.722461886151e-06
"A2M",-4.60209503216902e-06,-1.6332258383045e-05,-6.41067799733719e-06,-7.67066978824005e-07
"RYR3",5.01259455631953e-06,-3.27106899931096e-05,-3.04451532429084e-05,-1.17527451948263e-05
"USP6",-1.20182176033268e-05,2.5210115381924e-06,6.14396367382142e-06,1.41000737130526e-06
"DNAH17",-1.40190502406767e-06,9.94115998764755e-06,4.6672607822984e-06,-6.57326881992049e-06
"KIAA1012",-1.32949517137604e-05,-1.85782737389673e-05,5.94383027419099e-06,6.46429998596432e-06
"XDH",-6.66941332383431e-06,-1.85738044820027e-05,-1.09626489575021e-05,1.7516031221021e-05
"UGT2A3",1.23462621104409e-06,-5.57135706458212e-07,4.24567133450182e-06,-2.85673672806297e-06
"GPR98",-2.32548936764942e-05,1.30164789879927e-05,-1.01235782494769e-05,-9.59493081609253e-06
"DSP",-6.03174066782231e-06,-4.32973638453404e-06,-4.38325940876894e-07,-3.51269295606471e-06
"FAM83H",-1.01222904049791e-05,-1.63373042596504e-05,-1.77444107976044e-05,-1.15138400360593e-05
"ACAN",-5.11418193127611e-07,1.96632154256804e-05,2.96663574772538e-06,8.98398138815537e-06
"NOTCH3",-3.76305729332671e-06,2.33096579904668e-05,-8.93026935955277e-06,1.54423869389575e-05
"UGGT1",-4.79519803775474e-06,2.20814945350867e-05,-3.03019487546408e-06,7.67773326515453e-06
"TP63",-1.24033649626654e-05,-2.38598186115269e-05,-2.66877123067388e-06,-2.58038812717132e-06
"NLRP3",-1.01720397651661e-05,1.22868286780431e-05,-7.35001549401204e-06,-1.00540473795263e-05
"AHNAK",-2.35256920859683e-05,-3.26950139424298e-05,-1.85982116818195e-05,-1.09877491922816e-05
"OR4D5",-6.3251941355702e-06,-1.18358620966319e-05,-7.22327604307793e-06,-3.92781885238946e-06
"TPTE",-6.81894198351074e-06,-5.15325918968301e-05,-2.28846511163283e-05,-1.05994013210875e-05
"SETD2",-1.98912402993301e-05,-1.69770628417609e-05,-1.32080622279318e-05,-1.3632664376928e-05
"QKI",-1.31098258862039e-05,-1.01538171293214e-05,-7.18501951268991e-06,-7.49998116589268e-06
"CACNA2D1",-6.3251941355702e-06,-1.18358620966319e-05,-7.22327604307793e-06,-3.92781885238946e-06
"SAMD9L",-6.3251941355702e-06,-1.18358620966319e-05,-7.22327604307793e-06,-3.92781885238946e-06
"TRPM6",-1.3763943570666e-05,-1.91448543773731e-06,8.08927836715156e-07,-1.3193212907936e-05
"TLR7",-6.94284790370148e-06,7.19359877621173e-06,-2.25725652853725e-05,2.85344214034922e-07
"AFF2",-8.01346402568015e-07,3.33253701683134e-05,-2.18461009353632e-05,1.39681660584756e-05
"L1CAM",-2.83620520349359e-05,-2.8044132704963e-05,-2.13126822927734e-05,-8.55968846735777e-06
"MAP1S",-5.53669087821618e-06,-1.24215812320472e-05,3.48406570083171e-06,-2.86661975223979e-06
"PDGFRA",-2.0970632249373e-05,-2.96580255962908e-05,3.42293219546264e-06,-1.71163392224116e-05
"PPP1R3A",-5.53669087821618e-06,-1.24215812320472e-05,3.48406570083171e-06,-2.86661975223979e-06
"MKI67",-4.0919715615928e-08,-1.68670103448676e-05,1.51577805809211e-05,-4.57429541711463e-06
"CYP2B6",3.28962755702378e-06,-4.76412787975278e-06,2.48465767072048e-06,4.57246414953261e-06
"DCAF12L2",7.11268148734234e-06,-1.19962205644697e-05,8.58232124301139e-06,1.38752284328802e-05
"ITPR2",-3.84370821393532e-07,-2.62245048361365e-05,-2.59663775068475e-05,3.24516099681205e-06
"RYR1",-3.69924327969784e-06,-7.04853528077365e-06,-1.98046345758485e-05,-2.33193168241996e-05
"LRP2",-9.96322114588111e-07,-1.51018084579846e-05,-1.32576133182738e-05,1.87330351764103e-06
"AADACL2",-5.61493970963056e-06,7.25599284123746e-06,-4.83654366689734e-06,-1.05415119833197e-05
"SDK1",-9.38813536777161e-06,-2.58168602158548e-05,-3.05597041005967e-07,-4.91543687530793e-06
"PKD1L1",-1.31277647597017e-05,-2.10800626518903e-05,-1.05399521999061e-05,-9.83609606919345e-06
"DOCK4",2.41129868072676e-07,-2.55301129072905e-05,-5.45132206752896e-06,-1.09183738459251e-05
"C12orf63",3.62576020052074e-06,-1.47134605867905e-05,6.88210718635673e-07,-5.45188413525466e-06
"CHD8",-2.65357321040938e-05,-6.10822098678909e-06,1.10516327822552e-06,-5.67262577533256e-06
"SPTBN5",2.72876673079736e-06,2.86753929685801e-05,-5.30428860656684e-06,2.84152406493376e-07
"LAMA3",-4.20275955548277e-06,2.41021134570474e-05,1.74351509940607e-06,5.20079765919945e-07
"CIC",0.24535246193409,0.000614694959949702,-0.37735840678215,5.92395772400778e-05
"ITPR1",-1.87424063824437e-06,-7.08406423655106e-06,-3.54088547283027e-06,-1.87336695489648e-06
"TRPC7",3.81790414394345e-06,1.0600839232211e-05,6.56014435662655e-07,-6.7359983404458e-06
"SSPO",9.69568282016553e-06,-1.44808145705611e-05,-1.601544317964e-05,-1.39471394504653e-05
"MMP13",-5.56141003471566e-06,-1.33263783936854e-05,-1.50166342791636e-05,-4.51398227596655e-06
"CACNA1C",3.94452220886521e-10,-6.43351982798634e-10,7.74307118422968e-10,-1.62006852377772e-10
"HERC1",4.69383985546301e-06,1.73854605236556e-05,-4.33239401900209e-05,-1.20066079034586e-05
"PBRM1",1.56369651449495e-06,9.52360369410599e-06,-1.74911419890122e-05,9.54245115281083e-06
"UGT2B11",-1.04190885394928e-05,3.10501272906549e-05,-9.46151317293698e-07,-2.20699598685314e-06
"ADAM29",3.94452220886521e-10,-6.43351982798634e-10,7.74307118422968e-10,-1.62006852377772e-10
"RBMXL1",6.61271997159929e-06,7.54473421693547e-06,-1.20619970402913e-05,-4.45158088169251e-09
"ZNF831",-7.30853935237974e-06,1.80657152668573e-05,9.24145479075378e-06,-1.56962937580829e-06
"MYH2",-9.79093601927161e-06,-1.71395777215366e-06,2.24748291657306e-05,1.51667450154491e-06
"KPRP",-9.89897398540052e-06,8.02522322373989e-07,-1.44858277053572e-05,-1.18608559205313e-05
